지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
경기도,구도일주유소 성남,경기 성남시 중원구 갈마치로 233 (상대원동),S-OIL,031-741-5151,Y,1906,1758,1535,-
경기도,㈜오일플라자 성남지점 돌마주유소,경기 성남시 중원구 둔촌대로 295 (하대원동),HD현대오일뱅크,031-753-7770,N,-,1758,1627,1498
경기도,e-푸른주유소,경기 성남시 수정구 성남대로 1482 (복정동),S-OIL,031-759-5189,N,-,1759,1628,-
경기도,분당제일에너지,경기 성남시 수정구 여수대로 32,S-OIL,031-723-9701,Y,-,1759,1619,1550
경기도,청계산주유소,경기 성남시 수정구 청계산로 458 (상적동),GS칼텍스,031-723-8187,Y,1925,1759,1619,-
경기도,희성석유(주)금곡,경기 성남시 분당구 불정로 1 (정자동),GS칼텍스,031-716-5664,Y,1955,1768,1615,-
경기도,(주)남경석유 분당스타self주유소,경기 성남시 분당구 새마을로 65,S-OIL,031-704-8738,Y,-,1769,1609,1830
경기도,(주)새서울석유 동판교주유소,경기 성남시 수정구 대왕판교로 1002 (고등동),HD현대오일뱅크,031-723-6331,Y,-,1769,1637,1500
경기도,판교주유소,경기 성남시 분당구 운중로 263,HD현대오일뱅크,031-708-1717,Y,1998,1775,1627,-
경기도,이원주유소,경기 성남시 중원구 광명로 368 (금광동),S-OIL,031-732-5100,N,-,1775,1599,1500
경기도,상대원주유소,경기 성남시 중원구 희망로 352,HD현대오일뱅크,031-744-1592,Y,-,1775,1615,-
경기도,SK에너지(주) 스타팅광동주유소,경기 성남시 분당구 대왕판교로644번길 43,SK에너지,031-8017-5188,N,1925,1777,1617,-
경기도,시티홀오일프라자,경기 성남시 중원구 여수대로 200,SK에너지,031-753-5959,Y,-,1777,1637,-
경기도,판교서일주유소,경기 성남시 분당구 판교로 315 (삼평동),GS칼텍스,031-8016-5260,Y,1925,1777,1617,-
경기도,(주)새서울석유 세종,경기 성남시 수정구 여수대로 10 (시흥동),HD현대오일뱅크,031-723-6588,N,2079,1779,1679,-
경기도,HD현대오일뱅크㈜직영 서현셀프주유소,경기 성남시 분당구 서현로 488 (분당동),HD현대오일뱅크,031-701-4983,Y,1979,1779,1619,-
경기도,HD현대오일뱅크㈜직영 희망주유소,경기 성남시 중원구 희망로 28 (도촌동),HD현대오일뱅크,031-722-0396,N,1989,1779,1619,1449
경기도,SK KH에너지 판교운중주유소,경기 성남시 분당구 동판교로 177 (삼평동),SK에너지,031-8017-5155,N,1985,1787,1627,-
경기도,분당대일주유소,경기 성남시 분당구 양현로 312,GS칼텍스,031-706-6037,Y,1945,1787,1617,-
경기도,HD현대오일뱅크㈜직영 이매동셀프주유소,경기 성남시 분당구 성남대로772번길 2 (이매동),HD현대오일뱅크,031-703-9515,Y,1999,1795,1619,-
경기도,HD현대오일뱅크㈜직영 수내동주유소,경기 성남시 분당구 불정로 274 (수내동),HD현대오일뱅크,031-715-1681,N,2095,1795,1629,-
경기도,(주)새서울석유 신도시주유소,경기 성남시 분당구 황새울로359번길 3,HD현대오일뱅크,031-706-5151,N,2017,1798,1687,-
경기도,KH에너지(주)직영 분당공원주유소,경기 성남시 분당구 새마을로 27 (서현동),SK에너지,031-704-5182,N,1985,1798,1687,-
경기도,중원에너지 셀프주유소,경기 성남시 중원구 산성대로 336 (중동),SK에너지,031-745-5111,Y,-,1827,1697,-
경기도,서현주유소,경기 성남시 분당구 새마을로 19,GS칼텍스,031-701-7404,N,-,1839,1707,-
경기도,수펙스주유소,경기 성남시 분당구 성남대로 71 (구미동),SK에너지,031-717-1141,N,2017,1867,1717,-
